"jobtitle","company","min_salary","max_salary","average_salary","pdate","tag_list","description","industry","companysize","comaddress","position1","education","workexperience","worklanguage","age","is_end"
"数据分析经理","网联天下科技",0,0,0,"2017-10-17","腾讯系入口级行业,股票期权,弹性工作,上市公司,","工作职责： 1、负责产品和运营数据统计分析工作，完善数据报表系统，通过业务指标体系反映运营状况； 2、负责用户行为分析和用户画像工作，通过对用户数据的深入挖掘，提出产品功能改进方向； 3、负责各类主题数据挖掘工作，发现其中隐含的问题和变化，为业务运营和发展提供决策支持。 工作要求： 1、本科及以上学历，3年以上移动互联网商业化产品经验，有数据分析经验值优先； 2、熟练使用Excel中的函数及公式对数据进行处理，熟练使用SQl语句； 3、掌握数据分析体系架构、方法和相关数据建模知识、数据挖掘理论，熟悉一种及以上数据建模软件（spss、sas、matlab等）； 4、为人严谨细致，学习能力强，有良好的数据分析和产品意识，能够从海量数据中发现有价值的规律； 5、具备较强的跨团队沟通、协调能力、分析与解决问题的能力，拥有强烈的责任心和团队合作精神。","互联网·电商","100-499人","深圳市南山区科技园南十二路长虹科技大厦1710-1711","深圳","学历不限","经验不限","普通话","25-30岁",0
"风控数据分析岗","北京星河金服科技有限公司",18,36,27,"2017-10-17","带薪年假,交通补助,股票期权,午餐补助,通讯津贴,弹性工作,管理规范,岗位晋升,五险一金,上市公司,技能培训,团队聚餐,年底双薪,发展空间大,公司规模大,","主要职责： 1.专项分析：建立专项分析，针对项目需求进行数据分析和结果反馈 2.经营报表：建立报表制度，按日、周、月完成相应报表，并对报表进行优化和完善 3.数据监控：对产品数据、项目数据等进行监控，一般采取日、周、月的形式，具体需按照实际需求进行数据反馈 4.第三方数据评估：按需求和数据稳定情况等进行三方数据使用性评估级方案确认 5.数据库支持 职位条件： 1.知名院校本科及以上学历，统计、数学、计量经济、金融工程、计算机专业等量化方向专业；具有扎实的数理功底和持续学习研究能力； 2.熟练使用R、SAS、SQL等数据分析处理工具； 3.熟练使用Tableau等BI系统； 4.沟通能力强，能够把复杂的数理统计问题用简单的语言跟非专业的同事顺畅沟通； 5.对现金贷、消费金融市场、业务有一定了解，同时具有数学建模工作经历者优先。","互联网·电商","500-999人","海淀区信息路18号上地创新大厦","北京","统招本科","4年以上经验","语言不限","年龄不限",0
"互娱--广告数据分析--北京","爱奇艺",7,14,10.5,"2017-10-17","周末双休,弹性工作,发展前景好,成长空间大,扁平化管理,","岗位职责: 1.基于奇秀广告投放特点，组织搭建广告投放的评估体系； 2.能够研究，评估，执行和展示统计分析的结果，推进有精炼意义的观点用来推进业务重要的决策； 3.搭建模型用来分析各个广告投放效果及预测，不断通过数据帮助广告优化转化效果； 4.定义新的关键指标用来解析关键项目现状，不断优化和完善数据体系诊断并不断关键优化建议； 5.跨团队合作搭建整体数据支持业务体系； 任职要求: 1. 本科以上学历，对数据敏感，有强烈的好奇心，能从大量数据中发现商业价值，具备非常强的分析总结能力，具备良好的数据呈现能力和观点演说能力； 2. 对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力，良好的跨团队的沟通能力； 3. 非常强的跨团队影响力，能推动数据产生的主要结论推进决策落地； 4. 精通数据查询及统计分析软件； 5.能在压力下工作，互联网公司相关工作者优先。","互联网·电商","2000-5000人","北京市海淀区海淀北一街2号爱奇艺创新大厦","北京","统招本科","2年以上经验","语言不限","年龄不限",0
"数据运营经理","国美金控",0,0,0,"2017-10-18","五险一金,补充医疗,领导好,平台好,","职责描述： 1、负责美借产品的数据分析，根据产品线业务需求进行数据挖掘、加工、数据分析及数据展示，撰写相应分析报告、为公司产品运营提供策略及建议； 2、结合数据及经营情况，推动美借的各个部门工作，及时优化和调整产品、市场、运营的策略； 3、通过数据分析，趋势研究等方法，监督业务运营指标，通过日报、周报、月报的形式做数据预警及阶段性分析工作，推动部门核心业务业绩达成； 任职要求： 1、计算机、数学、统计学、数据挖掘等相关专业本科以上； 2、精通EXCEL、SQL或数据清洗工具（如kettle等）；熟悉finereport、tableau； 3、性格乐观开朗，具有良好的沟通表达能力，抗压能力，能与团队高效合作，热爱分享，喜欢专研，善于观察，有独立分析、思考和解决问题的能力。","投资","2000-5000人","鹏润大厦","北京","本科及以上","3年以上经验","语言不限","年龄不限",0
"数据分析主管","杭州湃沃电子商务有限公司",10,16,13,"2017-10-17","年底双薪,股票期权,绩效奖金,带薪年假,定期体检,弹性工作,年度旅游,节日礼物,领导好,扁平管理,技能培训,岗位晋升,五险一金,团队聚餐,发展空间大,公司规模大,","职责描述： 1、 熟悉电商公司业务模式，负责运营核心数据监测体系的建立； 2、 建立核心业务预测模型，推动模型的使用及后续开发，实现数据化运营； 3、商品结构规划、决策、预测商品销售趋势、商品采购分析、配发分析、销售分析； 4、分析关注呆滞商品的状况，协调呆滞商品的消耗处理，对商品的库存周转率负责； 5、 负责运营数据需求梳理，进行相关的数据规划，推动技术实现报表及分析自动化； 6、 带领团队进行开展数据分析项目，为业务方提供对应的解决方案并跟进实施效果。 任职要求： 1、统计学、数学、经济学等相关专业本科及以上学历； 2、熟悉Mysql或Oracle数据库,能熟练运用SAS或SPSS等建模软件； 3、熟悉数理统计、数据分析、数据挖掘的方法，比如：聚类模型、回归模型等； 4、热爱电商或互联网工作，至少三年以上数据分析经验，有过两年以上团队管理经验者优先。","互联网·电商","100-499人","下沙新加坡科技园5幢LEO楼（东壹咖啡旁）5楼501室","杭州","大专及以上","2年以上经验","语言不限","年龄不限",0
"数据分析岗/BI/业务运营","银联国际",12,30,21,"2017-10-17","五险一金,技能培训,定期体检,扁平管理,优秀员工奖,书本津贴,国际平台,出国机会,金融,","岗位概述 该岗位负责营销平台项目日常数据的跟踪分析，提供决策建议，并负责设计各类维度的报表，提交开发。 岗位职责 1．负责对平台日常运营进行统计分析。 2．负责项目的需求调研、数据分析、商业分析和数据挖掘模型的建立。 3．负责对产品、机构拓展等日常数据的支持。 岗位要求 1．全日制本科学历及以上，统计、数学、计算机、信息技术或其它相关专业。 2．3年以上金融行业工作经验，具有数据统计分析类工作经验者优先。 3．熟悉各类数据分析应用，能独立构建分析模型。 4．能熟练地用英文读、写和沟通。 5．性格开朗，具有亲和力，工作积极主动、沟通能力强，具备一定的适应能力、抗压能力及团队合作精神。","互联网·电商","500-999人","上海市","上海","统招本科","经验不限","英语 + 普通话","25-35岁",0
"数据分析主管","东印化妆品",0,0,0,"2017-10-17","带薪年假,午餐补助,节日礼物,领导好,扁平管理,岗位晋升,生育补贴,发展空间大,","1、对店铺及各电商平台的销量、利润目标提供数据采集，挖掘、整理，对大型促销活动目标的制定及数据报表提报进行审核与分析； 2、收集业务部门数据需求，包括品牌、商品、运营、用户研究等各维度需求，并和横向 数据部门对接，提交数据需求并参与数据分析、数据挖掘工作； 3、负责各店铺销售紧密合作，实施数据分析的结果并跟踪其效果 4、服从部门领导安排的其他相关运营工作； 5、通过专题分析，为淘系类目运营决策和产品方向提供数据支持；为公司运营决策、产品方向、销售策略、媒体投放策略提供数据支持； 6、定期针对推广效果进行跟踪、评估，并提交推广效果的统计分析报表，及时提出推广改进措施及方案；审核日常销售数据报表，确保数据的准确性与及时性； 任职要求： 1、大学专科以上学历，统计学、市场营销、电子商务或数学相关专业毕业。 2、二年以上数据分析相关工作经验或数据研究经验。 3、熟悉淘系各类数据分析指标，并能够跟进指标建模； 4、具备产品的顾客群分析及定位经验，对数据敏感； 5、熟练使用各种数理统计、数据分析工具软件（使用MS OFFICE，尤其PPT及Excel-透 视与常用公式），有VBA，SQL或R相关经验更佳； 6、熟悉数据分析与数据挖掘理论，能够撰写市场调查报告；","互联网·电商","100-499人","杭州市拱墅区丰潭路380号城西银泰E座8楼","杭州","大专及以上","3年以上经验","语言不限","年龄不限",0
"数据分析专员经理","北京酷云互动科技有限公司",10,16,13,"2017-10-17","年底双薪,绩效奖金,带薪年假,午餐补助,领导好,五险一金,子女福利,年度旅游,定期体检,弹性工作,","岗位职责： 1、针对市场热点话题热点节目进行数据挖掘分析，形成图文报告； 2、针对指定电视媒体电视节目制作用户关注分析报告； 3、对合作客户进行日常数据分析支持（平台软件操作指导、数据解读、分析需求报告支持等）； 任职资格： 1、统计学相关专业毕业，相关岗位1-3年工作经验，有市场研究公司或传媒公司数据分析研究经验、互联网数据相关工作经验优先考虑 2、对传媒行业比较熟悉，了解电视台、广告公司、广告主的关联关系， 对热门视频节目内容有个人观感 3、熟练应用Excel、PPT等办公软件","互联网·电商","100-499人","北京市东城区雍和宫雍和大厦B座15层","北京","统招本科","1年以上经验","普通话","20-30岁",0
"数据分析主管","Wish",0,0,0,"2017-10-17","绩效奖金,带薪年假,通讯津贴,午餐补助,定期体检,弹性工作,节日礼物,年度旅游,五险一金,生育补贴,业界黑马,出差津贴,","工作职责: 1，平台数据分析及预测 数据建模 2，协助参与到平台相关风险分级与评估工作；分析与发现风险漏洞，及时进行汇报 3，协助与其他部门沟通相关风控工作 4，撰写产品分析及风控报告 任职资格: 1，211本科学历以上，有相关工作经验优先 2，有良好的数据分析能力和统计学知识，会使用SQL,R预言,Matlab优先 3，优秀的英文沟通能力 4，喜欢接受挑战，做事耐心仔细，热爱数据分析","互联网·电商","100-499人","静安区延安中路静安嘉里中心3座25楼","上海","统招本科","经验不限","语言不限","年龄不限",0
"数据分析-市场营销方向","悠融资产管理(上海)有限公司",13,26,19.5,"2017-10-17","年底双薪,绩效奖金,发展空间大,五险一金,带薪年假,节日礼物,","岗位职责： 1、负责中心各类业务经营分析报告，为领导决策提供参考 2、负责部门重点业务及关键项目的督导、跟踪及汇报 3、负责研究工作的开展，支持部门业务发展。协助各业务团队撰写投研报告 4、负责项目成本、利润等数据分析与检视 任职要求： 1、经济、金融、统计、数学等相关专业硕士及以上学历； 2、2年以上企划研究、咨询公司相关工作经验； 3、熟悉金融市场相关知识，对银行金融市场各类交易品种及业务模式有深入了解，对市场有敏锐的洞察力； 3、具备较强的研究能力和分析能力，具备优秀的数据分析能力和文字功底，擅长PPT； 4、熟练使用WORD、PPT及EXCEL等办公软件","互联网·电商","500-999人","浦东大道1141号STARWORK","上海","本科及以上","3年以上经验","语言不限","年龄不限",0
"数据分析（机场）","飞友科技有限公司",7,12,9.5,"2017-10-17","五险一金,定期体检,带薪年假,年度旅游,节日礼物,团队聚餐,领导好,优秀员工奖,休闲餐点,发展空间大,岗位晋升,技能培训,管理规范,绩效奖金,交通补助,","岗位职责： 1、负责各平台的数据分析统计，建立并维护公司日常数据系统； 2、完成数据分析项目过程中的数据提取、数据分析、数据展示工作； 3、持续完善公司各项业务数据的统计分析模型，确保其准确性、实用性及可衡量性。 岗位要求： 1、1-2年以上工作经验和数据分析经验，数据敏感度高； 2、能熟练使用Excel，能熟练使用SAS、SQL、tableau等软件优先； 3、参与过完整的数据采集、数据清洗、分析和建模工作者优先； 4、有Spark Storm等主流的大数据计算组件有使用经验者优先； 5、有推荐系统，实时计算，用户行为分析，大数据处理方面经验者优先。","互联网·电商","100-499人","启航路300号","上海","本科及以上","1年以上经验","普通话","年龄不限",0
"数据分析师（嘉定南翔）","上海重信金融",10,18,14,"2017-10-18","绩效奖金,带薪年假,通讯津贴,交通补助,午餐补助,领导好,五险一金,岗位晋升,技能培训,管理规范,做五休二,扁平管理,年度旅游,发展空间大,团队聚餐,公司规模大,","岗位职责 1.负责网站数据的收集统计和整理分析工作； 2.通过将数据制成相应图表形式，完成数据分析后的数据展示工作； 3.负责构建用户数据模型，整合多种数据源的数据对用户进行深度分析，为产品开发、风险控制、精准营销、用户服务优化等提供决策支持和建议； 4.及时并准确的录入数据，制定日、周、月数据报表； 5.完成上级领导安排的其他工作。 岗位要求 1.大学本科及以上学历，统计学、应用数学等相关专业，金融相关行业工作经验1年以上； 2.熟练掌握多种统计方法，精通Excel，熟练使用SPSS、SAS等相关数据分析软件； 3.良好的数据敏感度，能从海量数据中提炼出核心结果； 4.工作认真，积极主动，善于思考和分析； 5.良好的逻辑思维、沟通表达及抗压能力。","投资","100-499人","上海市嘉定区银翔路515号南翔商务中心9楼","上海","大专及以上","1年以上经验","普通话","年龄不限",0
"数据分析工程师（海航云商智慧物流，西安）","海航云商投资有限公司",7,12,9.5,"2017-10-17","年底双薪,五险一金,岗位晋升,优惠机票,500强,","岗位职责： 为运营团队提供大数据建模，大数据存储和查询解决方案 任职要求： 211统招本科以上学历，5年以上工作经验，有互联网物流行业相关产品开发经验优先。 待遇福利： 薪资可谈，保证高于市场平均水平，健全的福利社保，全额缴纳五险一金，年度体检，海航员工特价机票","互联网·电商","500-999人","北京市东城区和平里东街11号航星科技园8号楼8层","西安","统招本科","3年以上经验","语言不限","年龄不限",0
"数据分析专员-南京","ofo",6,10,8,"2017-10-17","绩效奖金,带薪年假,交通补助,午餐补助,定期体检,扁平管理,五险一金,发展空间大,商业保险,","职责描述： 1.挖掘大区各维度运营数据，包括车辆运营数据及人员相关数据，理解数据间的业务逻辑； 2.能熟练运用SPSS，EXCEL等工具做好数据分析，能够敏锐洞察数据之间的逻辑关系，并熟练建立模型，为运营策略的输出提供数据支持。 3.将数据分析结果以PPT形式呈现。 任职要求： 1.本科及以上学历，数学或统计学专业优先； 2.二年以上工作经验优先，可接受优秀应届生； 3.具备基本的数据分析能力和敏锐的洞察力； 4.善于沟通，有较强的执行力； 5.熟练使用excel、PPT，精通SPSS等数据分析软件","互联网·电商","2000-5000人","应天大街388号1865创意园E10栋","南京","本科及以上","2年以上经验","语言不限","年龄不限",0
"数据运营专员","深圳市融金所资本管理集团有限公司",7,10,8.5,"2017-10-18","五险一金,绩效奖金,全勤奖,带薪年假,定期体检,年度旅游,节日礼物,","岗位职责： 1. 负责对平台各应用数据进行收集统计和分析处理，制作活动报告、周报、月报、季度报等常规数据报告； 2. 数据支持：为运营部门提供数据支持，包含项目数据埋点需求梳理、数据报表及呈现方式梳理等； 3. 项目沟通及跟进：和运营沟通协作，一起开展项目需求、项目执行、投放把控、效果分析等工作； 4. 对推广活动数据等内容进行数据分析，并形成有效的分析报告。 任职要求： 1. 本科以上学历，统计专业、应用数学专业优先，有数据统计经验； 2. 精通EXCEL，掌握数据透视表，VLOOKUP等基本函数；会使用SQL优先考虑； 3. 对数据敏感，有良好的逻辑能力、沟通能力和文字表达能力，执行力强，有责任心，抗压能力强。","投资","2000-5000人","福田区车公庙泰然八路水松大厦二楼","深圳","本科及以上","1年以上经验","普通话","年龄不限",0
"数据分析/建模专家（经营优化）","拍拍贷",18,26,22,"2017-10-17","午餐补助,弹性工作,领导好,公司规模大,发展空间大,扁平管理,团队聚餐,休闲餐点,管理规范,岗位晋升,技能培训,","数据分析/建模专家 【岗位职责】： 从数据层面驱动公司业务的增长&优化，包括但不限于： 1、对既有业务流程&数据进行梳理、挖掘，搭建相关业务数据分析体系，确保业务稳定高效运行； 2、通过科学严谨的方法进行用户画像，把握用户生命周期，提升客户价值； 3、通过模型化方法实现流程、定价等经营策略的优化； 4、提炼商业模型，参与公司经营计划的制定工作。 【任职资格】： 1、博士起，计量经济、统计、计算机等相关专业，1年以上相关经验或有相关学术成果； 2、熟练掌握至少一门数据库语言； 3、优秀的数据建模&逻辑思维能力，精通至少一种建模工具。具备解决模型系统的能力则更佳； 4、强烈的责任心，以及运用模型&技术手段解决实际问题的能力&动力； 5、严谨细致，追求极致。 综合的数据分析的人，论文&研究，多维度的数据研究","互联网·电商","2000-5000人","上海市浦东新区张江高科技园区郭守敬路356号","上海","统招本科","5年以上经验","语言不限","年龄不限",0
"金融数据分析经理","小赢理财",30,36,33,"2017-10-17","定期体检,节日礼物,扁平管理,技能培训,五险一金,团队聚餐,带薪年假,绩效奖金,休闲餐点,通讯津贴,午餐补助,弹性工作,岗位晋升,发展空间大,公司规模大,股票期权,","【岗位职责】 1、负责公司的个人信贷业务的政策数据分析； 2、通过数据研究各类信用贷款的风险管理并给出最优的政策建议； 3、 建立各类统计分析工具； 4、协助评分模型的开发，并将模型评分的结果应用于相关的业务政策和流程中； 5、 对客户数据进行收集整合，建立数据管理仓库和数据集市，开发业务发展需要的各类专项统计和分析报表。 【任职资格】 1、能熟练使用SAS, R等统计软件，熟练运用SQL或其他通用数据读取工具； 2、毕业于211工程大学（本科或以上）经济学（统计，计量经济学专业），或工科（不限专业），或数学、物理专业； 3、至少三年以上金融数据分析经验，特别是个人信贷（消费信贷，信用卡等）； 4、有团队管理经验。","互联网·电商","500-999人","南山区红树西岸","上海","统招本科","3年以上经验","普通话","年龄不限",0
"数据挖掘分析师（精准营销）","深圳中兴飞贷金融科技有限公司",12,24,18,"2017-10-18","领导好,技能培训,岗位晋升,发展空间大,","岗位职责： 1、负责针对金融贷款客户开展各类常规性分析和专题性分析、市场营销模型的生命周期管理（建立-上线-监控-下线），并能应用分析与模型结果开展各类营销活动。主要工作包括名单策略制定、效果评估、经验总结和推广。 2、负责数字营销(Digital Marketing)，能充分利用第一方以及三方数据，应用大数据分析技术，开展有效获客。主要工作包括精准目标客群筛选、效果评估、经验总结和推广。 3、负责移动端客户线上行为分析、客户体验优化，并能应用分析与模型结果改善客户端体验、提高客户满意度与客户转换率。 任职要求： 1、全日制本科以上学历，统计、数据、计算机等相关专业优先； 2、一年以上数据分析工作经验，熟悉金融产品客群经营、数字营销与市场营销相关知识； 3、熟悉至少一种关系型数据库（Oracle/Mysql/DB2），熟悉SQL，具备大数据处理经验优先； 4、熟练掌握1-2种分析与建模工具，具备较强的数据处理和分析能力，具备大数据建模经验优先，如R、Python； 5、有较强的综合分析能力、文字表达能力及沟通协调能力。","投资","100-499人","深圳南山区科苑路11号金融科技大厦20-22楼","深圳","本科及以上","1年以上经验","普通话","年龄不限",0
"数据分析专员","聚美",8,11,9.5,"2017-10-17","五险一金,午餐补助,弹性工作,岗位晋升,发展空间大,","岗位职责： 1.对配送商运营情况监控（提货，干线，分拣，下站，配送等）出现异常及时上报； 2.监控配送商关键业绩指标，针对不达标的快递给出整改方案； 3.监控配送商滞留清理及返货进度，对延迟订单进行处罚； 4.监控配送商工单处理准确合格率，对于不合格的订单进行处罚； 5.处理临时或突发事件。 任职要求： 1.大专及以上学历，物流专业优先； 2.熟练应用Excel及word等办公软件； 3.具有电子商务配送行业运营管理经验优先； 4.应届毕业生优先，如有工作经验，不超过2年。","互联网·电商","2000-5000人","中汇广场","北京","大专及以上","经验不限","语言不限","年龄不限",0
"SAS数据分析师","恒昌利通投资管理",12,24,18,"2017-10-18","带薪年假,午餐补助,交通补助,五险一金,团队聚餐,领导好,管理规范,岗位晋升,","岗位职责： 1、 负责个人信用贷款、消费金融风险评级模型建设； 2、 运用大数据技术进行信贷模型的设计与开发：负责信贷模型的设计、开发、验证、测试、实施与优化，包括但不限于：申请评分、行为评分、催收评分模型； 3、 制定评分模型贷款准入、额度、定价等相关策略，跟进和监控上线情况； 4、 完成信用风险相关数据分析工作，包括但不限于：坏账预测、资产质量监控、违约分析等； 5、 对接第三方征信公司，开展业务合作。 任职要求： 1、 本科及以上学历，数学、统计、经济学、计算机等相关专业； 2、 熟练掌握SAS等统计分析软件； 3、 2-5年风险数据分析经验，有银行等金融机构信用风险评分模型等建模经验者优先； 4、 逻辑思维及独立解决问题能力强。","投资","10000人以上","北京市朝阳区光华路7号汉威大厦东区5层","北京","本科及以上","3年以上经验","语言不限","年龄不限",0
"高级数据分析工程师","小视科技",26,39,32.5,"2017-10-17","领导好,技能培训,岗位晋升,发展空间大,","岗位职责： 1、 负责根据项目需要进行标签体系构建，数据处理、整合、标签等工作 2、 负责数据挖掘和分析领域的模型以及算法开发以及优化； 3、 负责数据分析结果的展现、应用、评价、迭代等闭环流程； 4、 负责金融风控、数据运营及精准营销等场景的数据挖掘及建模，对全流程业务数据，进行分析及数据建模，不断自动化学习优化。 任职要求： 1、 计算机/应用数学/统计学等相关专业本科及以上学历，1-3年以上相关工作经验，并有大型项目数据挖掘分析案例； 2、 熟悉业务和数据建模方法以及常用的数据建模和分析工具，如SAS/R/Python等，熟悉常用的数据可视化工具，如Congnos/SPSS／Tableau等，熟悉基于Hadoop／Spark平台的数据挖掘和分析者优先； 3、 熟悉常用数据挖掘和机器学习算法，如时间序列、逻辑回归、分类、聚类、随机森林、卷积神经网络等，有算法优化和分布式实现经验者优先； 4、 熟悉用户分群、用户画像、推荐和精准营销、风控建模等数据分析的业务场景，有项目成功经验。熟悉金融领域数据和业务特征及建模者优先； 5、 勇于创新和迎接挑战，有较强的分析和解决问题能力，较强的工作激情，具有强烈的责任心和团队合作精神； 6、可接受一年中部分时间在东南亚工作； 7、英语熟练者优先。","互联网·电商","100-499人","南京市江宁区龙眠大道568号南京生命科技创新园5栋","南京","本科及以上","2年以上经验","普通话","年龄不限",0
"数据分析运营经理(000656)","瓜子二手车直卖网",18,30,24,"2017-10-17","年底双薪,股票期权,绩效奖金,带薪年假,管理规范,扁平管理,领导好,免费班车,节日礼物,年度旅游,弹性工作,定期体检,技能培训,岗位晋升,五险一金,发展空间大,","岗位职责: 岗位职责： 1）根据业务需要，进行业务数据的日常监控。 2）对于监控中发现的异常问题，进行第一时间的分析，并给出详细的结论。 3）基于数据分析结果，给出业务优化建议，提出策略调整方案； 4）搜集竞品及行业信息，对竞品进行数据、策略层面的分析及监控。 5）负责撰写业务周报、月报。 任职资格: 任职要求： 1）聪明上进，对数据敏感，有较强的文献及信息搜集能力 2）计算机、统计、数学、经济学、信息科学、信息管理等专业优先 3）熟练使用EXCEL、PPT等办公软件，熟悉SQL优先 4）思路清晰，较强的分析问题能力 5）工作态度积极，较强的耐心与细心","互联网·电商","5000-10000人","合肥市庐阳区合肥市庐阳工投创智天地A9栋","合肥","统招本科","5年以上经验","普通话","年龄不限",0
"大数据分析工程师（应届生）","航天新长征大道科技有限公司",6,10,8,"2017-10-17","带薪年假,定期体检,领导好,扁平管理,五险一金,发展空间大,优秀员工奖,","职位要求： 1、根据需求完成软件系统模块设计以及开发文档的编写； 2、根据设计文档和需求说明完成代码编写、调试、单元测试和维护； 3、有效分析并解决软件开发过程中的问题，负责解决开发过程中的疑难杂症； 4、协助制定测试计划、定位发现的问题； 5、严格执行和推行开发规范； 6、针对项目需要，完成时间内的定制需求开发 岗位要求: 1. 具有Java开发经验，基础扎实，理解IO、多线程、集合等基础框架，对JVM原理有一定的了解； 2、精通servlet，JMS，Jdbc开发，熟悉Spring、myBatis、Netty等开源框架，能了解它的原理和机制，熟悉各种常用设计模式； 3、能熟练使用html、javascript、jquery等技术进行Web开发； 4、对数据库的基本原理和内部实现机制有深入的理解，能够熟练应用MySQL; 5、良好的逻辑思维能力，熟悉业务抽象和数据模型设计，具有很强的分析问题和解决问题的能力，对解决具有挑战性问题充满激情； 6、积级乐观的心态，能够拥抱变化，敢于建议，勇于创新。","互联网·电商","50-99人","辽宁省大连市甘井子区信达街31号航天大厦1602室","大连","本科及以上","经验不限","语言不限","年龄不限",0
"物流数据分析主管","小米",13,17,15,"2017-10-17","五险一金,餐补,扁平管理,带薪年假,子女福利,","1.	针对不同渠道的物流运营模式及特点，建立物流数据模型，分析物流全链路运营情况。 2.	基于分析结果，对异常数据进行原因分析，并提供合理的优化改善建议。 3.	负责从数据库抓取数据建立报表，进行数据挖掘、归集，为各业务部门提供数据支持，完善现有业务数据需求。 4.	完成周、月度物流运营数据分析报告。 任职要求： 1.	本科以上学历，物流管理、数学、统计学、计算机信息类等专业背景 2.	熟练使用MySQL，熟悉Java/Python至少一种语言，具备数据挖掘经验者优先 3.	熟练使用EXCEL，PPT等各种办公软件 4.	具备与技术人员沟通数据需求的能力，有较强的数据敏感度和逻辑思维 5.	具备良好的学习能力、团队合作能力","互联网·电商","10000人以上","北京市海淀区清河中街68号华润五彩城写字楼","北京","本科及以上","3年以上经验","语言不限","年龄不限",0
"数据分析","58同城",10,18,14,"2017-10-17","上市公司,绩效奖金,带薪年假,年度旅游,岗位晋升,五险一金,技能培训,公司规模大,管理规范,发展空间大,","工作职责： 1、运营数据分析：基于对业务体系及用户的深入理解，通过分析运营数据不断发现业务运行过程中的薄弱环节并提出相应的改进方案； 2、运营项目开展：开展运营项目，关注实施过程，协调各部门资源，保证运营工作顺利开展 任职资格： 1、统招本科以上学历，统计学，计量经济学，应用数学，计算机科学与技术等专业背景优先； 2、4年以上工作经验，3年以上完整的数据分析或数据运营工作经验； 3、具备良好的逻辑性和数据分析思维； 4、熟练掌握常用的数据分析工具，有SAS，SPSS，R，Matlab，Python等分析工具应用经验者优先，有建模应用经验者优先 5、熟悉常用数据库语言，有SQL使用经验者优先 6、具备良好的沟通协调能力和抗压能力，有一定项目管理经验者优先","互联网·电商","10000人以上","北京市朝阳区酒仙桥北路甲10号院105号楼","北京","本科及以上","4年以上经验","语言不限","年龄不限",0
"数据分析岗","维艾思气象",6,12,9,"2017-10-17","带薪年假,绩效奖金,通讯津贴,午餐补助,五险一金,定期体检,管理规范,技能培训,交通补助,","岗位职责： 1.	深入理解业务数据分析需求，支持面向业务的数据服务； 2.	进行数据产品的算法研究和实现，并定期优化迭代； 3.	数据分析的流程、规范和方法建立，及相关文档的撰写； 4.	通过API收集数据，进行数据清洗并保存到数据库。 任职资格： 1. 统计学、数学、信息与计算科学等相关专业本科以上学历，1年以上数据分析经验； 2. 熟练使用Excel、SQL语句且工作曾使用过mongoDB \\ SQL server\\ MySQL等中的至少一种。 3. 精通使用R、python中的至少一种； 4. 具有良好的沟通、表达能力，能够快速、准确地理解产品需求，并能主动且创新性地解决问题； 5. 良好的逻辑思维与表达能力，善于用简单语言表述复杂结论；工作独立性强，强烈的自我驱动型，善于团队合作和管理；良好的数据敏感度，善于从海量数据中提炼核心结果；","互联网·电商","100-499人","北京市海淀区中关村南大街46号中国气象局","北京","本科及以上","1年以上经验","普通话","年龄不限",0
"IT-产品经理（数据运营方向）","马上消费金融股份有限公司",16,30,23,"2017-10-18","五险一金,节日礼物,弹性工作,定期体检,员工餐厅,员工咖啡厅,年底双薪,午餐补助,","职责描述： 1、负责建立和完善产品的数据运营体系，通过数据分析制定有效策略，提升用户体验、加速用户增长、提升转化率和留存率； 2、负责关键指标的制定和监控，结合数据和业务定位关键问题，并提出解决方案； 3、跟随产品优化和项目进度，负责埋点设计等数据采集方案； 4、负责日常数据提取和分析， 产出日常报表。 任职要求： 1.学历要求:统招本科及以上学历，计算机以及相关专业； 2.经验要求：有2年以上互金产品数据分析/用户增长/用户运营/活动运营经验者优先； 3.技能要求： （1）熟练掌握SQL，熟练使用R、Python语言的有加分； （2）对业务数据和用户行为数据敏感，熟练使Excel/PowerPoint/Power BI/Tableau等工具制作报表； 4.通用要求： （1）有较强的学习能力和技术钻研能力、有自我驱动意识； （2）具备独立分析和解决问题的能力，积极主动、认真踏实的工作态度； （3）有良好的沟通能力，善于跨团队合作； （4）具有良好的项目驱动力与承压能力。","投资","1000-2000人","北京市启阳路金辉大厦28层（15号线望京东站B口出来即是）","北京","统招本科","2年以上经验","语言不限","年龄不限",0
"大数据开发工程师","大华技术",0,0,0,"2017-10-18","通讯津贴,上市公司,免费班车,午餐补助,领导好,五险一金,团队聚餐,管理规范,技能培训,岗位晋升,带薪年假,","岗位职责： 1、负责公司大数据分析平台的开发工作； 2、负责大数据采集工具开发和应用； 3、负责数据分析算法的开发实现； 4、负责大数据相关领域的开发； 任职资格： 1、计算机及相关专业本科及以上学历； 2、精通JAVA语言，2年以上批处理/流处理实际项目开发经验； 3、掌握Hadoop生态系统中的多个模块，如HDFS、HBase、M/R、Spark、Strom、ETL技术、MQ（KAFKA\\RocketMQ）、分布式服务框架、搜索引擎ES技术等； 4、熟悉Linux开发及使用环境； ​5、有机器学习/深度学习相关开发经验者优先考虑。","电子","5000-10000人","浙江省杭州市滨江高新区滨安路1199号","杭州","本科及以上","2年以上经验","普通话","年龄不限",0
